method,trial,success,good_grasp,closed,errored,final_err_mm,post_grasp_err_mm,lift_dz_m,dur_s,max_disp_mm,path_len_mm,mean_speed_mms,rms_radial_mm,sway_area_mm2,rms_long_mm,rms_lat_mm,ellipse_ratio,yaw_rms_deg,yaw_range_deg,z_rms_mm,mpf_hz
centroid_vs,25,1,1,1,0,0.7,5.2,0.0869,69.4,2.1,56.3,0.81,0.5,1.5,0.45,0.22,0.35,0.24,1.38,3.29,0.392
centroid_vs,26,1,1,1,0,0.4,4.9,0.0862,69.2,6.9,102.4,1.48,1.09,7.9,0.94,0.55,0.42,0.22,1.44,3.32,0.243
centroid_vs,27,1,1,1,0,0.6,4.5,0.0882,69.1,3.1,100.2,1.45,0.76,4.2,0.66,0.37,0.49,0.27,1.45,3.28,0.37
centroid_vs,28,1,1,1,0,0.3,4.9,0.0862,69.5,7.1,101.9,1.47,1.1,8.0,0.95,0.55,0.41,0.24,1.52,3.3,0.241
centroid_vs,29,1,1,1,0,1.1,5.1,0.0873,69.2,2.0,61.3,0.89,0.53,1.8,0.47,0.24,0.39,0.25,1.44,3.3,0.34
centroid_vs,30,1,1,1,0,0.5,4.9,0.0865,69.4,6.9,100.2,1.44,1.08,7.9,0.93,0.56,0.42,0.22,1.45,3.3,0.24
pca,01,0,0,0,1,,,,17.7,69.3,584.9,33.06,21.65,3456.1,9.4,19.5,0.48,61.08,356.32,9.1,0.216
pca,02,0,0,1,0,,,0.0,39.4,19.2,298.9,7.58,7.38,387.6,6.35,3.76,0.45,9.02,39.34,1.15,0.398
pca,03,0,0,0,1,,,,17.6,76.1,401.2,22.86,19.0,1971.8,13.87,12.98,0.32,57.23,354.42,6.7,0.298
pca,04,0,0,0,1,,,,17.8,43.0,278.3,15.63,13.41,1446.7,11.31,7.21,0.56,42.62,180.27,2.59,0.279
pca,05,0,0,0,1,,,,17.7,35.8,271.8,15.33,12.49,1342.7,10.51,6.75,0.64,45.65,353.77,2.72,0.25
pca,06,0,0,0,1,,,,17.8,32.3,229.0,12.88,11.98,1256.3,9.86,6.81,0.67,43.46,354.42,2.02,0.259
pca,07,0,0,0,1,,,,17.6,23.3,153.2,8.69,10.39,1001.0,7.98,6.65,0.82,41.98,352.64,1.8,0.219
pca,08,0,0,1,0,,,0.1932,61.8,25.9,711.4,11.52,8.22,592.8,6.8,4.63,0.68,73.46,355.17,10.67,0.158
pca,09,0,0,0,1,,,,17.8,52.9,344.0,19.35,16.15,2255.2,8.86,13.5,0.65,2.03,9.84,5.44,0.268
pca,10,0,0,0,1,,,,17.6,3.3,49.5,2.81,1.47,19.7,1.08,1.0,0.75,1.15,4.08,0.29,0.557
pca,11,0,0,0,1,,,,17.4,5.3,86.1,4.94,2.34,48.7,1.88,1.39,0.7,0.66,2.52,0.08,0.409
pca,12,0,0,0,1,,,,17.6,28.2,252.5,14.38,10.28,914.8,5.7,8.56,0.65,5.47,16.18,1.99,0.206
pca,13,0,0,0,1,,,,17.6,28.8,229.4,13.04,11.29,1024.5,5.86,9.64,0.56,7.16,23.51,2.46,0.247
pca,14,0,0,0,1,,,,17.8,28.9,249.8,14.03,11.28,1078.1,5.96,9.57,0.62,7.57,20.98,2.57,0.218
pca,15,0,0,0,1,,,,17.6,33.2,262.3,14.91,12.29,1205.3,6.41,10.49,0.55,8.27,25.71,2.58,0.231
pca,16,0,0,0,1,,,,17.7,31.0,259.7,14.69,10.98,1028.6,5.98,9.21,0.63,9.36,25.73,2.49,0.224
pca,17,0,0,0,1,,,,17.6,35.4,280.2,15.9,12.83,1346.6,6.92,10.81,0.57,9.38,29.62,2.69,0.242
pca,18,0,0,0,1,,,,17.7,31.3,248.0,14.0,11.23,1029.2,5.84,9.59,0.57,10.38,28.69,2.51,0.213
pca,19,0,0,0,1,,,,17.5,37.1,264.2,15.06,12.89,1260.6,6.46,11.15,0.5,10.15,31.75,2.69,0.211
pca,20,0,0,0,1,,,,17.7,32.3,243.0,13.77,11.18,975.3,5.64,9.66,0.53,11.16,30.97,2.5,0.213
pca,21,0,0,0,1,,,,17.8,38.4,247.1,13.91,13.39,1295.4,6.39,11.77,0.46,11.06,33.73,2.91,0.178
